,GEO_ID,NAME,tot_poverty,pov_150
295,0500000US08099,"Prowers County, Colorado",1866,3165
296,0500000US08101,"Pueblo County, Colorado",30591,46723
297,0500000US08103,"Rio Blanco County, Colorado",637,1227
298,0500000US08105,"Rio Grande County, Colorado",1894,3199
299,0500000US08107,"Routt County, Colorado",2705,3899
300,0500000US08109,"Saguache County, Colorado",1152,2171
301,0500000US08111,"San Juan County, Colorado",31,107
302,0500000US08113,"San Miguel County, Colorado",909,1436
303,0500000US08115,"Sedgwick County, Colorado",434,685
304,0500000US08117,"Summit County, Colorado",2437,4236
305,0500000US08119,"Teller County, Colorado",1984,3438
306,0500000US08121,"Washington County, Colorado",535,993
307,0500000US08123,"Weld County, Colorado",29866,53328
308,0500000US08125,"Yuma County, Colorado",1357,2365
309,0500000US09001,"Fairfield County, Connecticut",82327,135590
310,0500000US09003,"Hartford County, Connecticut",94192,152584
311,0500000US09005,"Litchfield County, Connecticut",12416,21470
312,0500000US09007,"Middlesex County, Connecticut",10944,18192
313,0500000US09009,"New Haven County, Connecticut",97553,155821
314,0500000US09011,"New London County, Connecticut",24040,41680
315,0500000US09013,"Tolland County, Connecticut",9996,16918
316,0500000US09015,"Windham County, Connecticut",12678,19637
317,0500000US10001,"Kent County, Delaware",23134,38758
318,0500000US10003,"New Castle County, Delaware",61333,93215
319,0500000US10005,"Sussex County, Delaware",24933,41375
320,0500000US11001,"District of Columbia, District of Columbia",107140,148589
321,0500000US12001,"Alachua County, Florida",53601,75300
322,0500000US12003,"Baker County, Florida",3017,5757
323,0500000US12005,"Bay County, Florida",26221,41378
324,0500000US12007,"Bradford County, Florida",5202,7576
325,0500000US12009,"Brevard County, Florida",68456,120229
326,0500000US12011,"Broward County, Florida",249553,429662
327,0500000US12013,"Calhoun County, Florida",1809,3178
328,0500000US12015,"Charlotte County, Florida",19623,37061
329,0500000US12017,"Citrus County, Florida",22350,38453
330,0500000US12019,"Clay County, Florida",21432,39748
331,0500000US12021,"Collier County, Florida",41243,72224
332,0500000US12023,"Columbia County, Florida",10261,18083
333,0500000US12027,"DeSoto County, Florida",9399,14580
334,0500000US12029,"Dixie County, Florida",3158,5210
