,GEO_ID,NAME,afr_amer,amer_ind,asian,latino,white,tot_pop
2136,0500000US40009,"Beckham County, Oklahoma",810,262,198,3215,19523,23290
2137,0500000US40011,"Blaine County, Oklahoma",510,530,29,938,7618,9777
2138,0500000US40013,"Bryan County, Oklahoma",841,7023,235,2462,33247,44529
2139,0500000US40015,"Caddo County, Oklahoma",750,7102,113,3451,18543,29510
2140,0500000US40017,"Canadian County, Oklahoma",3005,5139,4096,10250,105804,129571
2141,0500000US40019,"Carter County, Oklahoma",3257,3782,547,3181,36143,48530
2142,0500000US40021,"Cherokee County, Oklahoma",645,16468,311,3238,25154,48267
2143,0500000US40023,"Choctaw County, Oklahoma",1698,2015,24,572,9478,15051
2144,0500000US40025,"Cimarron County, Oklahoma",6,19,6,476,2004,2269
2145,0500000US40027,"Cleveland County, Oklahoma",12299,10342,12026,21658,214323,271818
2146,0500000US40029,"Coal County, Oklahoma",24,781,27,228,4078,5755
2147,0500000US40031,"Comanche County, Oklahoma",21505,6892,2644,15486,79469,124583
2148,0500000US40033,"Cotton County, Oklahoma",123,590,9,429,4841,6062
2149,0500000US40035,"Craig County, Oklahoma",458,2891,101,480,9694,14683
2150,0500000US40037,"Creek County, Oklahoma",1530,8146,364,2631,56645,70931
2151,0500000US40039,"Custer County, Oklahoma",905,716,355,4887,23856,29248
2152,0500000US40041,"Delaware County, Oklahoma",132,9011,494,1458,27112,41433
2153,0500000US40043,"Dewey County, Oklahoma",8,38,20,309,4351,4862
2154,0500000US40045,"Ellis County, Oklahoma",0,41,22,303,3835,4123
2155,0500000US40047,"Garfield County, Oklahoma",1922,1163,490,7055,51463,62481
2156,0500000US40049,"Garvin County, Oklahoma",703,1598,103,2117,22744,27570
2157,0500000US40051,"Grady County, Oklahoma",1169,2685,142,2897,46279,53955
2158,0500000US40053,"Grant County, Oklahoma",61,22,5,202,4029,4497
2159,0500000US40055,"Greer County, Oklahoma",470,268,0,654,4750,6081
2160,0500000US40057,"Harmon County, Oklahoma",207,20,51,768,1888,2813
2161,0500000US40059,"Harper County, Oklahoma",4,6,4,799,3589,3785
2162,0500000US40061,"Haskell County, Oklahoma",103,2141,72,500,9554,12835
2163,0500000US40063,"Hughes County, Oklahoma",799,2713,6,652,9336,13727
2164,0500000US40065,"Jackson County, Oklahoma",1948,464,367,5918,18159,25864
2165,0500000US40067,"Jefferson County, Oklahoma",79,439,8,598,5220,6280
2166,0500000US40069,"Johnston County, Oklahoma",212,685,12,519,7916,11027
2167,0500000US40071,"Kay County, Oklahoma",868,3560,282,3305,36077,45398
2168,0500000US40073,"Kingfisher County, Oklahoma",136,604,0,2290,12760,15392
2169,0500000US40075,"Kiowa County, Oklahoma",351,505,42,1000,7300,9239
