,GEO_ID,NAME,total_pop,pop_0_5,pop_5_10,pop_10_15,pop_15_20,pop_20_25,pop_25_30,pop_30_35,pop_35_40,pop_40_45,pop_45_50,pop_50_55,pop_55_60,pop_60_65,pop_65_70,pop_70_75,pop_75_80,pop_80_85,pop_85_90,pop_18_24,total_male_pop,pop_male_0_5,pop_male_5_10,pop_male_10_15,pop_male_15_20,pop_male_20_25,pop_male_25_30,pop_male_30_35,pop_male_35_40,pop_male_40_45,pop_male_45_50,pop_male_50_55,pop_male_55_60,pop_male_60_65,pop_male_65_70,pop_male_70_75,pop_male_75_80,pop_male_80_85,pop_male_85_90,pop_male_105_110
433,0500000US34031,"Passaic County, New Jersey",501826,33624,29644,35970,34315,33670,34795,33187,29390,33216,31778,33159,33029,30870,24069,19498,13610,7653,10349,48205,244825,17041,14599,19008,17258,16699,17465,16964,14211,16769,15489,16127,17571,13261,10638,9394,5729,2934,3668,23925
434,0500000US34033,"Salem County, New Jersey",62385,3555,3438,3527,3749,3875,3239,3486,3869,3755,4025,4672,3868,4978,3283,3731,2934,906,1495,5015,29904,1573,1182,1968,2304,1866,1446,1906,1942,1961,1625,2499,1883,2203,1479,1810,1418,369,470,2679
435,0500000US34035,"Somerset County, New Jersey",328934,15823,20219,20898,21991,19560,17700,18106,22293,19863,23683,26144,27726,21741,17703,12468,8205,6375,8436,27734,161761,8348,10104,11199,11896,10156,8823,8990,11081,9119,11944,12837,13804,10401,8388,5817,3289,2683,2882,14436
436,0500000US34037,"Sussex County, New Jersey",140488,6061,6904,8854,8752,8079,8071,7068,7666,9134,9578,11441,11947,12314,9077,6148,4230,2299,2865,11404,69839,3437,3399,4521,4665,3949,4383,3838,3734,3991,5177,5521,6166,5631,4294,3013,2261,895,964,5852
437,0500000US34039,"Union County, New Jersey",556341,35255,34578,38563,34785,33307,34852,35765,40014,36767,38349,39259,39512,33572,25767,20462,13375,10642,11517,46439,271642,17954,18843,18154,17499,16617,17755,17694,19441,18911,19178,19184,17966,17510,11638,9530,6594,3216,3958,23433
438,0500000US34041,"Warren County, New Jersey",105267,5103,4848,6526,6785,5843,5985,6344,5437,6053,7307,8451,8418,8305,5618,5593,3140,2701,2810,8753,51663,2294,3269,2774,3322,2965,3326,3274,2714,2874,3386,4237,3733,4339,3350,2284,1724,1205,593,4266
439,0500000US35001,"Bernalillo County, New Mexico",679121,36827,38614,43961,42135,43589,51640,48810,49820,41223,39948,39452,42331,45870,39002,29537,19612,11975,14775,60061,332147,18486,20631,21670,21353,22074,26203,24701,24045,21720,19977,18885,20498,21207,17765,13482,9440,4463,5547,30823
440,0500000US35005,"Chaves County, New Mexico",64615,4153,4263,5919,5610,2761,3908,4637,4289,3603,3680,3562,4264,3647,2845,3268,1634,1282,1290,5918,31959,1963,1781,3161,3416,1191,1762,2688,2295,1686,1719,1698,2155,1811,1464,1504,555,748,362,3256
441,0500000US35013,"Doña Ana County, New Mexico",218195,13414,13434,16802,17581,22385,16678,13044,13532,10375,11150,10716,11733,12177,11867,8362,7168,4775,3002,30938,107015,6806,7138,8041,8834,11124,8717,6905,6675,5122,5308,4940,5227,5565,6307,3480,3217,2113,1496,15343
442,0500000US35025,"Lea County, New Mexico",71070,5905,7229,5238,5537,4684,4771,3647,6813,3409,4727,3478,4147,3789,2660,1692,833,1626,885,7453,36824,2903,3428,2897,3426,2286,2662,1607,3459,2088,2602,1969,2323,1857,1389,549,253,699,427,3775
443,0500000US35031,"McKinley County, New Mexico",71367,4899,5569,6843,4791,4555,5541,5622,3390,4795,3614,4201,3679,3793,3155,2503,2233,1025,1159,6572,33125,2324,2461,2824,2266,2218,3014,2866,1795,2305,1634,1804,1903,1528,1304,1026,839,273,741,3125
444,0500000US35035,"Otero County, New Mexico",67490,4422,5478,3425,4466,4290,5398,3619,3534,4988,3745,3986,4754,3580,3597,3265,3191,1016,736,6601,35491,2443,3023,1473,2426,2456,3629,2026,2166,2567,1857,1672,2391,1831,1829,1509,1174,643,376,3556
445,0500000US35043,"Sandoval County, New Mexico",146748,7702,8986,10714,9683,7445,9243,9337,8953,9688,9330,8407,9592,10617,9314,7591,5209,2395,2542,11127,72134,4444,3889,6183,5386,3444,4667,4810,3935,5075,4524,4138,4392,4868,3753,4202,2578,1061,785,5645
446,0500000US35045,"San Juan County, New Mexico",123958,7692,9088,10007,8506,7496,8636,8260,7233,7998,7590,6019,8197,7983,6370,4584,3128,2682,2489,10423,61512,3813,5087,4876,4717,3576,4207,4187,2774,4820,3908,2838,4584,3497,2921,2284,1252,1459,712,5292
447,0500000US35049,"Santa Fe County, New Mexico",150358,6086,6903,8421,7629,8477,8102,8758,9391,7769,9567,8287,11313,11719,13319,10647,6619,4007,3344,11288,72431,3117,3573,4032,4636,3510,4069,4241,4445,4152,4261,4415,4949,5587,5915,5256,3023,2061,1189,5761
448,0500000US35061,"Valencia County, New Mexico",76688,3921,4423,5633,5455,6980,3623,3822,6030,3009,5052,4237,4821,5585,5137,3659,2776,1825,700,9341,39329,2504,2666,2822,3489,3310,2046,1205,3932,977,2508,2253,2000,2961,2701,1596,1328,814,217,4377
449,0500000US36001,"Albany County, New York",305506,15203,13656,17098,23794,29915,21681,19048,19170,16747,16600,18959,20604,19534,15538,15297,9651,5240,7771,43901,147290,7813,6960,8834,10791,15169,10678,9468,9741,7967,7980,9530,10405,9075,7700,6483,3937,1946,2813,21621
450,0500000US36005,"Bronx County, New York",1418207,100047,88904,103032,93912,99499,119616,107497,90299,90219,84705,88650,85498,76877,58767,46902,36138,23845,23800,137331,669355,50893,44644,53412,48343,49767,58802,52014,42727,41400,39209,40688,37722,35212,24765,20086,13507,8077,8087,69321
451,0500000US36007,"Broome County, New York",190488,10754,9708,9927,14633,18792,11888,9840,9791,10275,9360,11379,13362,13733,11406,8579,7984,4583,4494,27051,94225,5668,4993,5138,7794,10041,5831,4912,4786,4955,4584,5804,6200,7158,5369,4197,3678,1472,1645,14323
452,0500000US36009,"Cattaraugus County, New York",76117,4406,4608,4569,5062,4569,4208,4306,3977,4258,4410,4867,5605,5810,5186,3992,3200,1477,1607,6604,38132,2366,2412,2172,2802,2270,2235,2195,2178,2022,2176,2507,2644,3002,2027,2339,1650,630,505,3343
453,0500000US36011,"Cayuga County, New York",76576,3782,3569,4821,4085,4259,4588,4393,5188,4322,4780,5440,6328,5978,4584,4166,2672,1493,2128,5798,38865,1893,1697,2379,2049,2223,2494,2413,2966,2330,2662,2904,2975,2944,2265,1996,1039,959,677,2930
454,0500000US36013,"Chautauqua County, New York",126903,6736,7533,6350,9294,7935,7141,7504,7392,6275,7572,7834,10148,9174,7048,7684,3927,3007,4349,12402,61511,3216,4320,2658,4406,4309,3689,3648,3398,3455,3845,3999,4432,4537,3317,3736,2006,804,1736,6463
455,0500000US36015,"Chemung County, New York",83456,4319,4854,4811,5077,4820,5259,5500,4316,4866,4651,6306,6311,6351,4901,4070,2502,2063,2479,6596,41145,2183,2235,2328,2825,2403,2745,3110,2342,2332,2387,3062,2985,3255,2465,1724,1195,565,1004,3348
456,0500000US36019,"Clinton County, New York",80485,3666,3910,3963,5686,7255,5317,4923,4767,5206,5059,5073,5666,5941,4712,3480,2557,1451,1853,10675,41294,1804,1775,2076,2598,3795,2959,2983,2574,3064,2785,2627,3236,2531,2722,1283,1178,478,826,5251
457,0500000US36027,"Dutchess County, New York",294218,12647,14615,17006,21834,20115,17893,16228,17396,17772,19040,21377,23661,21739,16135,13907,9816,6417,6620,31325,146449,6246,6593,9953,11511,10201,8960,8548,8443,9299,9710,10611,10818,11854,7800,6410,4368,2585,2539,16150
458,0500000US36029,"Erie County, New York",918702,50101,47483,54877,57456,58803,66559,65326,55696,49770,52041,59646,65333,66604,55484,40067,28653,20207,24596,83447,444435,25539,24124,27912,28881,29587,33723,32714,27020,25183,25196,28885,31111,31734,27533,16960,11920,8083,8330,41955
459,0500000US36045,"Jefferson County, New York",109834,8291,7307,6148,7152,10917,9351,9106,7111,5613,4795,5856,6292,6270,4965,4039,2988,2268,1365,13874,57906,4132,3786,3250,3747,7436,5662,4737,3721,3185,2405,2946,2881,3078,2400,1884,1055,860,741,8922
460,0500000US36047,"Kings County, New York",2559903,182787,151579,159586,135493,152915,236692,233996,191180,166378,151256,144617,140885,145161,113128,97004,64669,46315,46262,202230,1212991,94201,77394,81563,69098,73033,113361,114749,93834,78163,70565,66975,65559,63748,49001,42480,26053,17002,16212,98076
461,0500000US36051,"Livingston County, New York",62914,2704,2772,3498,5768,6218,3315,3155,3279,3531,3590,4066,4844,4572,3621,3201,2235,1024,1521,9687,32260,1386,1298,2020,2766,3275,1858,1773,1773,1881,1986,2051,2539,2269,1921,1447,814,461,742,4730
462,0500000US36053,"Madison County, New York",70941,3338,4268,3432,6220,5576,3621,3743,3177,4165,3876,4792,5592,5606,5386,2672,2624,1583,1270,9235,35365,1765,2752,1362,3135,2815,1890,1921,1521,2275,1894,2336,2633,2847,2474,1421,1054,895,375,4737
463,0500000US36055,"Monroe County, New York",741770,40284,37893,47901,48801,49977,53645,52267,46476,39087,42747,47618,52802,49749,40050,35340,20303,18001,18829,71906,358280,20987,19001,24863,25362,24665,26572,25757,23013,18431,20290,22860,24557,24345,19086,15693,9246,6864,6688,36148
464,0500000US36059,"Nassau County, New York",1356924,74086,80299,83922,85214,84423,82117,77594,77117,86697,87096,96333,99893,95465,77437,59472,38909,32995,37855,116989,662102,37828,41322,43138,43790,42985,42024,38993,38877,42153,42614,46463,49248,44943,37091,27181,17251,13202,12999,59773
465,0500000US36061,"New York County, New York",1628706,76131,60265,61844,67607,111308,187246,174485,126997,107021,98722,96629,94395,89453,78361,70675,50183,38387,38997,145284,771278,38723,31586,30050,31514,49730,89128,86207,66695,49658,48725,47998,47055,40880,34439,29599,19802,14452,15037,64522
466,0500000US36063,"Niagara County, New York",209281,11024,10980,12663,11826,11644,13535,13797,12880,10312,12367,13834,16482,16860,13921,10207,7097,4894,4958,16439,102656,5240,5414,6797,6040,5804,7056,7342,6279,5122,6048,6607,7750,8612,6980,4825,3089,1963,1688,8285
467,0500000US36065,"Oneida County, New York",228671,12458,13485,14095,14964,14837,14092,15112,11906,13431,13915,14346,15348,16977,13189,10757,7816,5598,6345,21322,113929,6349,7114,7200,8162,7745,7445,7727,6093,7152,6849,7170,7605,8296,6387,4961,3810,2387,1477,11569
468,0500000US36067,"Onondaga County, New York",460528,25831,25022,29054,34269,30405,30641,30225,28738,24114,26694,30336,31275,33842,25602,20046,13428,8606,12400,47488,221732,13015,11953,16037,16867,15250,15013,14721,13171,11998,13024,14504,15760,15518,12360,8906,5687,3870,4078,23312
469,0500000US36069,"Ontario County, New York",109777,4743,6267,6952,7381,6399,5892,7059,6088,5490,6512,7735,8835,7886,6588,6636,4171,2634,2509,9967,53892,2362,3401,3908,3878,3116,3063,3495,2897,2800,3234,3780,4375,3711,3142,3002,1727,1158,843,5111
470,0500000US36071,"Orange County, New York",384940,25824,26850,27852,28321,29773,22085,23000,23445,22192,25087,25998,24843,24376,17724,15277,9758,6810,5725,40814,193819,13845,12718,15688,15156,16650,10988,12031,11345,11221,12348,12854,12681,11823,9104,6425,5273,2257,1412,23104
471,0500000US36075,"Oswego County, New York",117124,6601,5544,8041,9294,7762,7142,7280,6759,5905,6864,8299,9093,8934,5852,5797,3499,2044,2414,12628,58818,3461,2465,4496,4789,4100,3693,3756,2996,3348,3260,4125,4280,4899,2587,3163,1457,895,1048,6451
472,0500000US36079,"Putnam County, New York",98320,4307,3524,7163,5464,5652,6346,6112,5113,6535,7126,7348,8836,7509,5982,4056,3351,2235,1661,7290,49138,2026,1626,3893,2962,3011,3230,3526,2862,3135,3060,3783,3803,4328,2957,1900,1710,749,577,4027
473,0500000US36081,"Queens County, New York",2253858,136858,116135,127094,114117,125955,179631,180395,157857,148468,147775,150773,161487,138853,114702,93287,62832,46297,51342,168832,1094029,70188,60523,63990,59191,61858,88898,91572,79470,72570,72554,73507,78722,64635,53428,40645,26259,17236,18783,84145
