,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150,pov_18_up
98,0500000US09001,"Fairfield County, Connecticut",926707,571352,145361,148887,716713
99,0500000US09003,"Hartford County, Connecticut",873964,540547,147661,165083,688208
100,0500000US09005,"Litchfield County, Connecticut",178648,109389,37017,22431,146406
101,0500000US09007,"Middlesex County, Connecticut",157215,97682,31092,16659,128774
102,0500000US09009,"New Haven County, Connecticut",829382,515542,143225,151229,658767
103,0500000US09011,"New London County, Connecticut",255099,157109,46454,39166,203563
104,0500000US09013,"Tolland County, Connecticut",135541,86763,23256,18019,110019
105,0500000US09015,"Windham County, Connecticut",111707,71128,18135,19269,89263
106,0500000US10001,"Kent County, Delaware",172411,103819,29034,40891,132853
107,0500000US10003,"New Castle County, Delaware",542628,339609,85126,94368,424735
108,0500000US10005,"Sussex County, Delaware",225747,121619,62727,44594,184346
109,0500000US11001,"District of Columbia, District of Columbia",669031,459981,83460,149547,543441
110,0500000US12001,"Alachua County, Florida",257170,171722,36991,67936,208713
111,0500000US12005,"Bay County, Florida",183220,113476,30167,38241,143643
112,0500000US12009,"Brevard County, Florida",590143,342098,139332,115810,481430
113,0500000US12011,"Broward County, Florida",1935744,1207097,320063,393459,1527160
114,0500000US12015,"Charlotte County, Florida",181377,86157,73303,36592,159460
115,0500000US12017,"Citrus County, Florida",145414,70707,53286,38873,123993
116,0500000US12019,"Clay County, Florida",213559,130390,34267,44616,164657
117,0500000US12021,"Collier County, Florida",374902,189899,121833,73859,311732
118,0500000US12023,"Columbia County, Florida",65554,38221,12324,17910,50545
119,0500000US12031,"Duval County, Florida",928973,586586,130209,225356,716795
120,0500000US12033,"Escambia County, Florida",297104,182151,51089,67045,233240
121,0500000US12035,"Flagler County, Florida",111079,57357,35109,19018,92466
122,0500000US12053,"Hernando County, Florida",188642,101920,52033,50723,153953
123,0500000US12055,"Highlands County, Florida",104015,49290,36582,33104,85872
124,0500000US12057,"Hillsborough County, Florida",1416105,894852,203319,336424,1098171
125,0500000US12061,"Indian River County, Florida",156228,80383,50928,30471,131311
126,0500000US12069,"Lake County, Florida",352795,190891,94206,79479,285097
127,0500000US12071,"Lee County, Florida",745525,400757,213540,153348,614297
128,0500000US12073,"Leon County, Florida",279466,188238,38054,81469,226292
129,0500000US12081,"Manatee County, Florida",390298,212894,106514,77097,319408
130,0500000US12083,"Marion County, Florida",348888,182650,102695,90554,285345
131,0500000US12085,"Martin County, Florida",157847,81787,49662,26479,131449
132,0500000US12086,"Miami-Dade County, Florida",2724358,1729901,440941,777539,2170842
133,0500000US12087,"Monroe County, Florida",73690,45765,16819,13948,62584
134,0500000US12089,"Nassau County, Florida",85278,49591,18599,14553,68190
135,0500000US12091,"Okaloosa County, Florida",201214,121716,33700,44928,155416
136,0500000US12095,"Orange County, Florida",1345264,884104,161850,341641,1045954
137,0500000US12097,"Osceola County, Florida",365572,228970,47833,99619,276803
138,0500000US12099,"Palm Beach County, Florida",1464632,835014,350892,313385,1185906
139,0500000US12101,"Pasco County, Florida",529431,302388,120233,110906,422621
140,0500000US12103,"Pinellas County, Florida",960680,568442,236625,194007,805067
141,0500000US12105,"Polk County, Florida",694899,399411,141922,183772,541333
142,0500000US12107,"Putnam County, Florida",73072,40396,17104,22897,57500
143,0500000US12109,"St. Johns County, Florida",252317,146620,51348,33786,197968
144,0500000US12111,"St. Lucie County, Florida",318115,179727,76419,75073,256146
145,0500000US12113,"Santa Rosa County, Florida",173122,106883,27904,25053,134787
146,0500000US12115,"Sarasota County, Florida",421163,206779,154555,68616,361334
147,0500000US12117,"Seminole County, Florida",463475,294623,71218,73577,365841
148,0500000US12119,"Sumter County, Florida",119252,37748,72439,18174,110187
149,0500000US12127,"Volusia County, Florida",537658,311681,131349,116255,443030
150,0500000US12131,"Walton County, Florida",69591,41323,14302,12281,55625
151,0500000US13013,"Barrow County, Georgia",80449,49605,10121,16622,59726
152,0500000US13015,"Bartow County, Georgia",104791,65650,14440,23254,80090
153,0500000US13021,"Bibb County, Georgia",145375,86256,23101,47938,109357
154,0500000US13031,"Bulloch County, Georgia",68339,45020,8386,22662,53406
155,0500000US13045,"Carroll County, Georgia",113659,70125,16509,30238,86634
156,0500000US13047,"Catoosa County, Georgia",66348,41014,11855,9953,52869
157,0500000US13051,"Chatham County, Georgia",278029,174373,43088,61032,217461
158,0500000US13057,"Cherokee County, Georgia",252281,154686,35884,37067,190570
159,0500000US13059,"Clarke County, Georgia",116178,80174,14640,48365,94814
160,0500000US13063,"Clayton County, Georgia",282949,176957,26465,91759,203422
161,0500000US13067,"Cobb County, Georgia",743993,477451,91501,105868,568952
162,0500000US13073,"Columbia County, Georgia",153891,93648,21161,18631,114809
163,0500000US13077,"Coweta County, Georgia",144690,90056,20610,27440,110666
164,0500000US13089,"DeKalb County, Georgia",742726,476488,92053,173595,568541
165,0500000US13095,"Dougherty County, Georgia",87006,52484,13592,34822,66076
166,0500000US13097,"Douglas County, Georgia",143523,89728,17153,33367,106881
167,0500000US13113,"Fayette County, Georgia",112378,66587,20092,9302,86679
168,0500000US13115,"Floyd County, Georgia",93320,55749,15897,34076,71646
169,0500000US13117,"Forsyth County, Georgia",235749,143074,28172,18506,171246
170,0500000US13121,"Fulton County, Georgia",1017969,671012,120437,211157,791449
171,0500000US13127,"Glynn County, Georgia",83329,48995,16510,20269,65505
172,0500000US13135,"Gwinnett County, Georgia",922124,582708,92414,160337,675122
173,0500000US13139,"Hall County, Georgia",200254,119878,29623,44748,149501
174,0500000US13151,"Henry County, Georgia",228354,144066,26076,32105,170142
175,0500000US13153,"Houston County, Georgia",152841,97228,17856,30814,115084
176,0500000US13157,"Jackson County, Georgia",69412,41867,10032,10582,51899
177,0500000US13185,"Lowndes County, Georgia",111327,70118,14264,44983,84382
178,0500000US13215,"Muscogee County, Georgia",187584,114527,25614,58192,140141
