,GEO_ID,NAME,tot_poverty,pov_18_64,pov_65_up,pov_150
305,0500000US24009,"Calvert County, Maryland",91786,56873,13919,6727
306,0500000US24013,"Carroll County, Maryland",164224,100347,28544,14122
307,0500000US24015,"Cecil County, Maryland",100975,63068,16373,18304
308,0500000US24017,"Charles County, Maryland",160910,102805,20295,15587
309,0500000US24021,"Frederick County, Maryland",254295,157221,38047,24566
310,0500000US24025,"Harford County, Maryland",253672,156036,41735,30592
311,0500000US24027,"Howard County, Maryland",323615,199000,46043,28998
312,0500000US24031,"Montgomery County, Maryland",1039287,637349,165275,126068
313,0500000US24033,"Prince George's County, Maryland",887565,566495,124308,122331
314,0500000US24037,"St. Mary's County, Maryland",110699,69202,14757,14616
315,0500000US24043,"Washington County, Maryland",142206,85407,25087,27187
316,0500000US24045,"Wicomico County, Maryland",98564,61172,16324,27792
317,0500000US24510,"Baltimore city, Maryland",570960,369485,84165,167674
318,0500000US25001,"Barnstable County, Massachusetts",210469,113497,65979,21410
319,0500000US25003,"Berkshire County, Massachusetts",118600,69474,29393,23473
320,0500000US25005,"Bristol County, Massachusetts",551042,342520,94277,98143
321,0500000US25009,"Essex County, Massachusetts",771387,473685,134443,113386
322,0500000US25011,"Franklin County, Massachusetts",69246,41647,15979,10962
323,0500000US25013,"Hampden County, Massachusetts",452901,276555,77847,105173
324,0500000US25015,"Hampshire County, Massachusetts",137340,86387,28516,24291
325,0500000US25017,"Middlesex County, Massachusetts",1557113,999770,246015,167983
326,0500000US25021,"Norfolk County, Massachusetts",688639,425112,118209,60983
327,0500000US25023,"Plymouth County, Massachusetts",509964,307123,93840,59956
328,0500000US25025,"Suffolk County, Massachusetts",759308,536403,96151,176978
329,0500000US25027,"Worcester County, Massachusetts",802035,502685,129215,125914
330,0500000US26005,"Allegan County, Michigan",116671,69085,19948,25235
331,0500000US26017,"Bay County, Michigan",102250,60900,20795,20259
332,0500000US26021,"Berrien County, Michigan",150229,87446,30565,38910
333,0500000US26025,"Calhoun County, Michigan",130678,77310,23915,28587
334,0500000US26037,"Clinton County, Michigan",78825,47807,13711,13018
335,0500000US26045,"Eaton County, Michigan",108611,64660,21236,14657
336,0500000US26049,"Genesee County, Michigan",400914,240067,72331,100661
337,0500000US26055,"Grand Traverse County, Michigan",91898,54959,19029,14216
338,0500000US26065,"Ingham County, Michigan",272856,177484,39561,73989
339,0500000US26073,"Isabella County, Michigan",63612,43273,9062,23596
340,0500000US26075,"Jackson County, Michigan",149178,87309,28479,33191
341,0500000US26077,"Kalamazoo County, Michigan",257598,162484,39661,52917
342,0500000US26081,"Kent County, Michigan",646272,401894,90193,123974
343,0500000US26087,"Lapeer County, Michigan",85733,52459,16147,17174
344,0500000US26091,"Lenawee County, Michigan",93023,54431,18896,19297
345,0500000US26093,"Livingston County, Michigan",190826,117224,34039,14502
346,0500000US26099,"Macomb County, Michigan",865907,536759,149332,134497
347,0500000US26103,"Marquette County, Michigan",63106,39033,12666,12018
348,0500000US26111,"Midland County, Michigan",82050,48796,15136,11771
349,0500000US26115,"Monroe County, Michigan",148968,90149,27899,24901
350,0500000US26121,"Muskegon County, Michigan",167349,99783,29657,40263
351,0500000US26125,"Oakland County, Michigan",1247140,775457,213646,155819
352,0500000US26139,"Ottawa County, Michigan",282246,169323,44673,37965
353,0500000US26145,"Saginaw County, Michigan",184422,108494,36119,53624
354,0500000US26147,"St. Clair County, Michigan",157479,95331,30357,31010
355,0500000US26155,"Shiawassee County, Michigan",67098,40407,12795,11888
356,0500000US26159,"Van Buren County, Michigan",75009,43621,14080,17104
357,0500000US26161,"Washtenaw County, Michigan",347058,228323,52058,66662
358,0500000US26163,"Wayne County, Michigan",1729271,1051816,270596,502498
359,0500000US27003,"Anoka County, Minnesota",353011,218942,51078,42606
360,0500000US27013,"Blue Earth County, Minnesota",63764,41880,9050,14178
361,0500000US27019,"Carver County, Minnesota",103680,63953,12696,8199
362,0500000US27035,"Crow Wing County, Minnesota",64126,35652,14534,12170
